pv_kwh
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.03706
0.06708
0.07733
0.12742
0.12911
0.13616
0.08766
0.06304
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.03068
0.05911
0.05976
0.07375
0.09334
0.48616000000000004
0.027489999999999997
0.16428
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.08683
0.03271
0.24165999999999999
0.2785
0.53408
0.20184
0.36213
0.09393000000000001
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.23542
0.14199
0.15819999999999998
0.21858000000000002
0.16807
0.10006999999999999
0.48231
0.28064999999999996
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.20042
0.42464999999999997
0.60196
0.66703
0.66391
0.55436
0.29964999999999997
0.16937
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.19822
0.44351
0.62186
0.66774
0.67914
0.60549
0.48319999999999996
0.25611
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.03666
0.09151000000000001
0.16733
0.49534
0.37492000000000003
0.5231399999999999
0.48893000000000003
0.27575
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.018760000000000002
0.22825
0.12072
0.3148
0.22002000000000002
0.38924000000000003
0.27413
0.18181
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.21328
0.43525
0.6022000000000001
0.65755
0.69972
0.6244299999999999
0.33194999999999997
0.07944
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.23889
0.36128
0.5822200000000001
0.41894
0.49279
0.17695
0.30122000000000004
0.17565999999999998
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.06656000000000001
0.42586
0.31701999999999997
0.25537
0.09540000000000001
0.04802
0.0238
0.02487
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.22340000000000002
0.45572
0.6137100000000001
0.68298
0.66347
0.6389
0.4943
0.29493
0.0
0.0
0.0
0.0
